;task_id;short;y;final_cause_area
10;3600220;Hospice internship;['accept criticism & guidance', 'apply hygiene standards', 'apply knowledge of philosophy, ethics & religion', 'approach challenges positively', 'assume responsibility', 'attend to detail', 'comply with regulations', 'cope with stress', 'cope with uncertainty', 'demonstrate awareness of health risks ', 'demonstrate loyalty', 'demonstrate trustworthiness', 'demonstrate willingness to learn', 'ensure customer orientation', 'identify problems', 'improvise', 'keep an open mind', 'maintain psychological well-being', 'make an informed use of the health-care system', 'make decisions', 'manage chronic health conditions', 'manage financial and material resources', 'manage frustration', 'manage quality', 'manage time', 'meet commitments', 'organise information, objects & resources', 'protect the health of others', 'report facts', 'respect confidentiality obligations', 'respect the diversity of cultural values and norms', 'show commitment', 'show confidence', 'show determination', 'show empathy', 'show initiative', 'solve problems', 'work in teams', 'work independently'];Social and health
11;3619967;Grant Writing Assistant;['address an audience', 'attend to detail', 'carry out calculations', 'demonstrate willingness to learn', 'manage quality', 'promote ideas, products, services ', 'think creatively'];Social and health
12;3335457;Brown Bag Pantry Volunteers Needed!;['apply hygiene standards', 'move objects', 'work efficiently', 'work in teams'];Social and health
13;3911706;Vice President of Marketing and Public Relations;['address an audience', 'advise others', 'apply knowledge of social sciences & humanities', 'assume responsibility', 'attend to detail', 'build networks', 'build team spirit', 'carry out calculations', 'conduct web searches', 'create digital content', 'delegate responsibilities', 'demonstrate intercultural competence', 'demonstrate loyalty', 'ensure customer orientation', 'identify problems', 'instruct others', 'lead others', 'make decisions', 'manage financial and material resources', 'manage quality', 'meet commitments', 'motivate others', 'organise information, objects & resources', 'participate actively in civic life', 'plan ', 'promote ideas, products, services ', 'report facts', 'show commitment', 'show confidence', 'show determination', 'show entrepreneurial spirit', 'show initiative', 'solve problems', 'think analytically', 'think creatively', 'think holistically', 'think innovately', 'use communication & collaboration SW', 'work in teams', 'work independently'];Education
14;3809959;Want to help kids in low-income communities? Become a virtual tutor!;['accept criticism & guidance', 'adapt to change', 'advise others', 'apply knowledge of science, technology & engineering', 'apply knowledge of social sciences & humanities', 'attend to detail', 'carry out calculations', 'create digital content', 'demonstrate intercultural competence', 'demonstrate willingness to learn', 'ensure customer orientation', 'instruct others', 'keep an open mind', 'list of languages', 'manage quality', 'motivate others', 'operate digital HW', 'organise information, objects & resources', 'plan ', 'show commitment', 'show empathy', 'use communication & collaboration SW', 'work in teams', 'work independently'];Education
15;3883076;Make a Difference, Become a Mentor (Step into Tech)!;['advise others', 'approach challenges positively', 'assume responsibility', 'attend to detail', 'demonstrate trustworthiness', 'demonstrate willingness to learn', 'ensure customer orientation', 'identify problems', 'instruct others', 'manage quality', 'manage time', 'moderate a discussion', 'motivate others', 'operate digital HW', 'organise information, objects & resources', 'plan ', 'promote ideas, products, services ', 'respect confidentiality obligations', 'respect the diversity of cultural values and norms', 'show commitment', 'show confidence', 'show determination', 'show empathy', 'show initiative', 'solve problems', 'think analytically', 'think creatively', 'think holistically', 'use communication & collaboration SW', 'work independently'];Education
16;3180497;Housing Counselor;['advise others', 'apply digital security measures', 'apply knowledge of social sciences & humanities', 'approach challenges positively', 'assume responsibility', 'attend to detail', 'carry out calculations', 'cope with uncertainty', 'create digital content', 'demonstrate trustworthiness', 'demonstrate willingness to learn', 'ensure customer orientation', 'identify problems', 'instruct others', 'interpret mathematical information', 'make decisions', 'manage financial and material resources', 'manage quality', 'meet commitments', 'operate digital HW', 'organise information, objects & resources', 'plan ', 'promote ideas, products, services ', 'respect confidentiality obligations', 'show commitment', 'show confidence', 'show determination', 'show empathy', 'show initiative', 'solve problems', 'think analytically', 'think holistically', 'think innovately', 'use communication & collaboration SW', 'work independently'];Education
17;1629754;Join Minds Matter Bay Area & become a Mentor or an Instructor for a High Schooler today!;['address an audience', 'advise others', 'apply knowledge of science, technology & engineering', 'apply knowledge of social sciences & humanities', 'assume responsibility', 'attend to detail', 'build networks', 'build team spirit', 'carry out calculations', 'demonstrate curiosity', 'demonstrate intercultural competence', 'demonstrate loyalty', 'demonstrate trustworthiness', 'ensure customer orientation', 'identify problems', 'instruct others', 'list of languages', 'manage quality', 'manage time', 'meet commitments', 'moderate a discussion', 'motivate others', 'organise information, objects & resources', 'plan ', 'promote ideas, products, services ', 'respect confidentiality obligations', 'show commitment', 'show determination', 'show empathy', 'solve problems', 'think creatively', 'think innovately', 'work in teams'];Education
18;3175231;Volunteer Business Mentor: Share your knowledge with a small business owner!;['address an audience', 'advise others', 'apply knowledge of social sciences & humanities', 'approach challenges positively', 'attend to detail', 'build networks', 'calculate probabilities', 'carry out calculations', 'cope with uncertainty', 'demonstrate trustworthiness', 'ensure customer orientation', 'identify problems', 'instruct others', 'manage financial and material resources', 'manage quality', 'manage time', 'moderate a discussion', 'motivate others', 'organise information, objects & resources', 'plan ', 'promote ideas, products, services ', 'respect confidentiality obligations', 'show commitment', 'show empathy', 'show entrepreneurial spirit', 'solve problems', 'think analytically', 'think creatively', 'think critically', 'think holistically', 'think innovately', 'work independently'];Education
19;1979941;Tutor an Adult Learner In-Person or Online;['address an audience', 'advise others', 'apply knowledge of social sciences & humanities', 'approach challenges positively', 'attend to detail', 'demonstrate willingness to learn', 'ensure customer orientation', 'instruct others', 'list of languages', 'manage quality', 'manage time', 'motivate others', 'operate digital HW', 'organise information, objects & resources', 'plan ', 'respect confidentiality obligations', 'show commitment', 'show empathy', 'use communication & collaboration SW', 'work independently'];Education
20;3795164;Portuguese Translator for Early Math Education Materials;['apply knowledge of science, technology & engineering', 'attend to detail', 'demonstrate intercultural competence', 'list of languages', 'manage quality', 'operate digital HW', 'use communication & collaboration SW', 'work independently'];Education
21;3881982;School Outreach;['address an audience', 'build networks', 'demonstrate trustworthiness', 'demonstrate willingness to learn', 'ensure customer orientation', 'identify problems', 'maintain psychological well-being', 'moderate a discussion', 'operate digital HW', 'report facts', 'show commitment', 'show empathy', 'use communication & collaboration SW', 'work independently'];Education
22;3796360;Intern for Social Meida;['address an audience', 'assume responsibility', 'attend to detail', 'build networks', 'comply with regulations', 'create digital content', 'demonstrate intercultural competence', 'demonstrate trustworthiness', 'ensure customer orientation', 'make decisions', 'manage quality', 'manage time', 'operate digital HW', 'organise information, objects & resources', 'plan ', 'promote ideas, products, services ', 'report facts', 'respect confidentiality obligations', 'show commitment', 'show determination', 'show empathy', 'show initiative', 'think creatively', 'use communication & collaboration SW', 'work in teams', 'work independently'];Education
23;3378107;California Attorney;['address an audience', 'advise others', 'apply knowledge of social sciences & humanities', 'assume responsibility', 'attend to detail', 'comply with regulations', 'demonstrate loyalty', 'demonstrate trustworthiness', 'ensure customer orientation', 'exercise rights and responsibilities', 'identify problems', 'manage quality', 'moderate a discussion', 'organise information, objects & resources', 'plan ', 'promote ideas, products, services ', 'report facts', 'resolve conflicts', 'respect confidentiality obligations', 'show commitment', 'show confidence', 'show determination', 'show initiative', 'solve problems', 'think analytically', 'think critically', 'work in teams', 'work independently'];Education
24;3842255;Social Media Coordinator;['address an audience', 'advise others', 'assume responsibility', 'attend to detail', 'build networks', 'comply with regulations', 'create digital content', 'demonstrate intercultural competence', 'demonstrate trustworthiness', 'ensure customer orientation', 'identify problems', 'make decisions', 'manage quality', 'manage time', 'operate digital HW', 'organise information, objects & resources', 'plan ', 'promote ideas, products, services ', 'report facts', 'respect confidentiality obligations', 'show commitment', 'show determination', 'show empathy', 'show initiative', 'think analytically', 'think creatively', 'think holistically', 'use communication & collaboration SW', 'work in teams', 'work independently'];Education
25;3911573;Cancer Survivors board;['address an audience', 'apply knowledge of philosophy, ethics & religion', 'apply knowledge of social sciences & humanities', 'approach challenges positively', 'assume responsibility', 'build networks', 'build team spirit', 'carry out calculations', 'cope with uncertainty', 'delegate responsibilities', 'demonstrate awareness of health risks ', 'demonstrate loyalty', 'demonstrate trustworthiness', 'identify problems', 'lead others', 'make an informed use of the health-care system', 'make decisions', 'meet commitments', 'motivate others', 'organise information, objects & resources', 'plan ', 'promote ideas, products, services ', 'respect confidentiality obligations', 'respect the diversity of cultural values and norms', 'show commitment', 'show confidence', 'show determination', 'show empathy', 'show initiative', 'solve problems', 'think analytically', 'think creatively', 'think holistically', 'think innovately', 'work in teams', 'work independently'];Civic activities and community
26;3806844;Volunteer Mentor for People Experiencing Homelessness;['address an audience', 'advise others', 'approach challenges positively', 'build networks', 'build team spirit', 'demonstrate intercultural competence', 'demonstrate trustworthiness', 'ensure customer orientation', 'identify problems', 'instruct others', 'maintain psychological well-being', 'manage frustration', 'moderate a discussion', 'motivate others', 'organise information, objects & resources', 'plan ', 'promote ideas, products, services ', 'report facts', 'resolve conflicts', 'respect confidentiality obligations', 'respect the diversity of cultural values and norms', 'show commitment', 'show empathy', 'show initiative', 'solve problems', 'think creatively', 'work independently'];Civic activities and community
27;218628;Food Bank Volunteers - Weekday Food Sorting;['apply hygiene standards', 'manage quality', 'move objects', 'organise information, objects & resources', 'work efficiently'];Civic activities and community
28;3707362;Volunteer Friend to a Neighbor Experiencing Homelessness;['build networks', 'demonstrate intercultural competence', 'demonstrate trustworthiness', 'maintain psychological well-being', 'respect confidentiality obligations', 'respect the diversity of cultural values and norms', 'show commitment', 'show empathy', 'show initiative', 'work independently'];Civic activities and community
29;3730609;Join our Communications & PR Sub-Committee;['address an audience', 'advise others', 'assume responsibility', 'attend to detail', 'build networks', 'comply with regulations', 'create digital content', 'demonstrate intercultural competence', 'demonstrate loyalty', 'demonstrate trustworthiness', 'ensure customer orientation', 'identify problems', 'make decisions', 'manage quality', 'operate digital HW', 'organise information, objects & resources', 'plan ', 'promote ideas, products, services ', 'report facts', 'respect confidentiality obligations', 'show commitment', 'show confidence', 'show determination', 'show empathy', 'show initiative', 'think analytically', 'think creatively', 'use communication & collaboration SW', 'work independently'];Civic activities and community
30;3877231;Marketing/Website Assistance;['address an audience', 'advise others', 'assume responsibility', 'attend to detail', 'build networks', 'comply with regulations', 'create digital content', 'demonstrate intercultural competence', 'demonstrate trustworthiness', 'ensure customer orientation', 'identify problems', 'make decisions', 'manage quality', 'operate digital HW', 'organise information, objects & resources', 'plan ', 'promote ideas, products, services ', 'report facts', 'respect confidentiality obligations', 'show commitment', 'show determination', 'show empathy', 'show initiative', 'think analytically', 'think creatively', 'use communication & collaboration SW', 'work independently'];Civic activities and community
31;3921652;Administrative Support;['address an audience', 'advise others', 'apply digital security measures', 'attend to detail', 'build networks', 'build team spirit', 'comply with regulations', 'demonstrate intercultural competence', 'demonstrate trustworthiness', 'ensure customer orientation', 'instruct others', 'manage quality', 'manage time', 'motivate others', 'operate digital HW', 'organise information, objects & resources', 'plan ', 'promote ideas, products, services ', 'respect confidentiality obligations', 'show commitment', 'show empathy', 'use communication & collaboration SW', 'work efficiently', 'work in teams'];Civic activities and community
32;3917127;Dinner and Silent Auction;['apply hygiene standards', 'build team spirit', 'comply with regulations', 'demonstrate intercultural competence', 'demonstrate trustworthiness', 'ensure customer orientation', 'move objects', 'organise information, objects & resources', 'promote ideas, products, services ', 'respect confidentiality obligations', 'use equipment, tools or technology with precision', 'work efficiently', 'work in teams'];Civic activities and community
33;3889071;Grassroots Nonprofit Seeks Experienced Board Members;['address an audience', 'advise others', 'apply knowledge of social sciences & humanities', 'approach challenges positively', 'assume responsibility', 'build networks', 'build team spirit', 'calculate probabilities', 'carry out calculations', 'comply with regulations', 'cope with uncertainty', 'delegate responsibilities', 'demonstrate loyalty', 'demonstrate trustworthiness', 'instruct others', 'lead others', 'make decisions', 'manage financial and material resources', 'manage quality', 'meet commitments', 'operate digital HW', 'organise information, objects & resources', 'plan ', 'promote ideas, products, services ', 'report facts', 'respect confidentiality obligations', 'show commitment', 'show confidence', 'show determination', 'show entrepreneurial spirit', 'show initiative', 'think analytically', 'think creatively', 'think critically', 'think holistically', 'think innovately', 'use communication & collaboration SW', 'work in teams'];Civic activities and community
34;3803702;Board Member - Fund Development & Strategic Visioning;['address an audience', 'advise others', 'apply knowledge of social sciences & humanities', 'approach challenges positively', 'assume responsibility', 'build networks', 'build team spirit', 'calculate probabilities', 'carry out calculations', 'comply with regulations', 'cope with uncertainty', 'delegate responsibilities', 'demonstrate loyalty', 'demonstrate trustworthiness', 'instruct others', 'lead others', 'make decisions', 'manage financial and material resources', 'manage quality', 'meet commitments', 'operate digital HW', 'organise information, objects & resources', 'plan ', 'promote ideas, products, services ', 'report facts', 'respect confidentiality obligations', 'show commitment', 'show confidence', 'show determination', 'show entrepreneurial spirit', 'show initiative', 'think analytically', 'think creatively', 'think critically', 'think holistically', 'think innovately', 'use communication & collaboration SW', 'work in teams'];Civic activities and community
35;2622758;Volunteer Opportunities at Olompali State Historic Park;['address an audience', 'advise others', 'apply knowledge of philosophy, ethics & religion', 'apply knowledge of science, technology & engineering', 'carry out calculations', 'comply with regulations', 'demonstrate awareness of health risks ', 'demonstrate curiosity', 'demonstrate trustworthiness', 'engage others in environment friendly behaviours', 'ensure customer orientation', 'instruct others', 'memorise information', 'promote ideas, products, services ', 'protect the health of others', 'react to physical changes or hazards', 'report facts', 'show commitment', 'show confidence'];Art, culture, entertainment
36;3066244;WIKIPEDIA WRITER;['address an audience', 'attend to detail', 'conduct web searches', 'create digital content', 'manage quality', 'operate digital HW', 'organise information, objects & resources', 'promote ideas, products, services ', 'report facts', 'use communication & collaboration SW', 'work independently'];Art, culture, entertainment
37;3829202;Hospice Volunteer (San Francisco);['accept criticism & guidance', 'advise others', 'apply hygiene standards', 'apply knowledge of philosophy, ethics & religion', 'approach challenges positively', 'assume responsibility', 'attend to detail', 'comply with regulations', 'cope with stress', 'cope with uncertainty', 'demonstrate awareness of health risks ', 'demonstrate loyalty', 'demonstrate trustworthiness', 'demonstrate willingness to learn', 'ensure customer orientation', 'identify problems', 'improvise', 'instruct others', 'keep an open mind', 'maintain psychological well-being', 'make an informed use of the health-care system', 'make decisions', 'manage chronic health conditions', 'manage financial and material resources', 'manage frustration', 'manage personal progression', 'manage quality', 'manage time', 'meet commitments', 'operate digital HW', 'organise information, objects & resources', 'plan ', 'protect the health of others', 'report facts', 'respect confidentiality obligations', 'respect the diversity of cultural values and norms', 'show commitment', 'show confidence', 'show determination', 'show empathy', 'show initiative', 'solve problems', 'use communication & collaboration SW', 'work independently'];Art, culture, entertainment
38;3080193;National Park Service Trails & Rails Guide Based Near San Jose on Amtrak's Coast Starlight;['address an audience', 'demonstrate willingness to learn', 'manage time', 'memorise information', 'promote ideas, products, services ', 'report facts', 'show commitment', 'work independently'];Art, culture, entertainment
39;3791379;Video Editor;['address an audience', 'attend to detail', 'conduct web searches', 'create digital content', 'express yourself creatively', 'manage quality', 'manage time', 'operate digital HW', 'promote ideas, products, services ', 'report facts', 'think creatively', 'use communication & collaboration SW', 'use equipment, tools or technology with precision', 'work in teams'];Art, culture, entertainment
40;3780039;Make Cards for Injured Athletes!;['create digital content', 'express yourself creatively', 'manage time', 'operate digital HW', 'show empathy', 'think creatively', 'use communication & collaboration SW', 'work independently'];Art, culture, entertainment
41;3586449;Volunteer Reiki Practitioner @ The Healing WELL;['address an audience', 'apply hygiene standards', 'demonstrate awareness of health risks ', 'express yourself creatively', 'maintain psychological well-being', 'manage chronic health conditions', 'protect the health of others', 'show empathy'];Art, culture, entertainment
42;3776794;Virtual Volunteer PROGRAM MANAGER;['advise others', 'assume responsibility', 'attend to detail', 'build networks', 'build team spirit', 'comply with regulations', 'ensure customer orientation', 'instruct others', 'lead others', 'make decisions', 'manage quality', 'motivate others', 'operate digital HW', 'organise information, objects & resources', 'plan ', 'promote ideas, products, services ', 'report facts', 'show commitment', 'show determination', 'show initiative', 'think analytically', 'think creatively', 'think critically', 'think holistically', 'think innovately', 'use communication & collaboration SW', 'work in teams'];Art, culture, entertainment
43;3906931;Advising Accountant, CPA (Volunteer/Advisor Role);['address an audience', 'advise others', 'apply knowledge of social sciences & humanities', 'assume responsibility', 'attend to detail', 'carry out calculations', 'comply with regulations', 'demonstrate loyalty', 'demonstrate trustworthiness', 'instruct others', 'interpret mathematical information', 'manage financial and material resources', 'manage quality', 'organise information, objects & resources', 'plan ', 'report facts', 'respect confidentiality obligations', 'show commitment', 'think analytically', 'think critically', 'work independently'];Art, culture, entertainment
44;2884606;Web Content Creator & MaintenanceSpecialist;['address an audience', 'apply digital security measures', 'attend to detail', 'conduct web searches', 'create digital content', 'manage quality', 'operate digital HW', 'organise information, objects & resources', 'promote ideas, products, services ', 'report facts', 'think holistically', 'use communication & collaboration SW', 'work in teams'];Environment, nature and animal protection
45;3880650;Outreach committee;['address an audience', 'apply knowledge of science, technology & engineering', 'apply knowledge of social sciences & humanities', 'assume responsibility', 'build networks', 'build team spirit', 'demonstrate willingness to learn', 'engage others in environment friendly behaviours', 'make decisions', 'organise information, objects & resources', 'plan ', 'promote ideas, products, services ', 'report facts', 'show commitment', 'show determination', 'show initiative', 'work in teams'];Environment, nature and animal protection
46;3873138;Web Design for Food Recovery Impact!;['address an audience', 'apply digital security measures', 'attend to detail', 'conduct web searches', 'create digital content', 'manage quality', 'operate digital HW', 'organise information, objects & resources', 'promote ideas, products, services ', 'report facts', 'think holistically', 'use communication & collaboration SW', 'work independently'];Environment, nature and animal protection
47;3411200;Train with Explosives Canine (dog) Teams at the Oakland Airport;['comply with regulations', 'cope with stress', 'move objects'];Environment, nature and animal protection
48;3902696;Botanical Records Volunteer;['apply knowledge of science, technology & engineering', 'attend to detail', 'comply with regulations', 'conduct web searches', 'create digital content', 'demonstrate curiosity', 'demonstrate willingness to learn', 'manage quality', 'operate digital HW', 'organise information, objects & resources', 'report facts', 'think analytically', 'use communication & collaboration SW', 'work in teams', 'work independently'];Environment, nature and animal protection
49;347249;Restore California Least Tern habitat at the Alameda Wildlife Reserve!;['adjust to physical demands', 'adopt ways to foster biodiversity and animal welfare', 'attend to detail', 'demonstrate awareness of health risks ', 'manage quality', 'move objects', 'react to physical changes or hazards', 'use equipment, tools or technology with precision', 'work independently'];Environment, nature and animal protection
50;3737112;TRAIL & HABITAT STEWARDSHIP: Mount Sutro;['adjust to physical demands', 'adopt ways to foster biodiversity and animal welfare', 'attend to detail', 'build networks', 'build team spirit', 'demonstrate awareness of health risks ', 'ensure customer orientation', 'manage quality', 'motivate others', 'move objects', 'react to physical changes or hazards', 'use equipment, tools or technology with precision', 'work in teams', 'work independently'];Environment, nature and animal protection
51;3025776;Nature Education Docent --> REUSE #36 ;['address an audience', 'advise others', 'apply knowledge of science, technology & engineering', 'comply with regulations', 'demonstrate awareness of health risks ', 'demonstrate curiosity', 'demonstrate trustworthiness', 'demonstrate willingness to learn', 'engage others in environment friendly behaviours', 'ensure customer orientation', 'instruct others', 'memorise information', 'promote ideas, products, services ', 'protect the health of others', 'react to physical changes or hazards', 'report facts', 'show commitment', 'show confidence', 'use equipment, tools or technology with precision'];Environment, nature and animal protection
52;3706380;Grant Writer --> REUSE #12;['address an audience', 'attend to detail', 'carry out calculations', 'comply with regulations', 'conduct web searches', 'demonstrate willingness to learn', 'manage quality', 'manage time', 'meet commitments', 'operate digital HW', 'organise information, objects & resources', 'plan ', 'promote ideas, products, services ', 'report facts', 'show initiative', 'think analytically', 'think creatively', 'use communication & collaboration SW', 'work independently'];Childcare
53;1598777;Volunteer needed to research grant opportunities intern;['attend to detail', 'carry out calculations', 'comply with regulations', 'conduct web searches', 'demonstrate willingness to learn', 'instruct others', 'manage quality', 'meet commitments', 'operate digital HW', 'organise information, objects & resources', 'plan ', 'promote ideas, products, services ', 'think creatively', 'work in teams'];Childcare
54;3881632;Social Media Marketing Manager Volunteer for WIN All Else Fails;['address an audience', 'advise others', 'apply knowledge of social sciences & humanities', 'assume responsibility', 'attend to detail', 'build networks', 'build team spirit', 'carry out calculations', 'comply with regulations', 'conduct web searches', 'create digital content', 'delegate responsibilities', 'demonstrate loyalty', 'ensure customer orientation', 'identify problems', 'instruct others', 'interpret mathematical information', 'lead others', 'make decisions', 'manage quality', 'manage time', 'meet commitments', 'motivate others', 'organise information, objects & resources', 'plan ', 'promote ideas, products, services ', 'report facts', 'show commitment', 'show confidence', 'show determination', 'show empathy', 'show initiative', 'solve problems', 'think analytically', 'think creatively', 'think holistically', 'think innovately', 'use communication & collaboration SW', 'work in teams', 'work independently'];Childcare
55;3735016;Homeless service, Advocay, Re-Entry, , Health and Wellness;['address an audience', 'advise others', 'apply hygiene standards', 'apply knowledge of social sciences & humanities', 'assume responsibility', 'attend to detail', 'carry out calculations', 'comply with regulations', 'demonstrate awareness of health risks ', 'demonstrate loyalty', 'ensure customer orientation', 'identify problems', 'instruct others', 'maintain psychological well-being', 'make an informed use of the health-care system', 'manage chronic health conditions', 'manage financial and material resources', 'manage quality', 'manage time', 'moderate a discussion', 'motivate others', 'operate digital HW', 'organise information, objects & resources', 'plan ', 'protect the health of others', 'report facts', 'show commitment', 'show empathy', 'show initiative', 'solve problems', 'think analytically', 'think holistically', 'use communication & collaboration SW', 'use equipment, tools or technology with precision', 'work in teams', 'work independently'];Childcare
56;3876435;Write a letter or card! - Fort Wayne, Indiana --> REUSE #41;['create digital content', 'express yourself creatively', 'manage time', 'operate digital HW', 'show empathy', 'think creatively', 'use communication & collaboration SW', 'work independently'];Childcare
57;3899150;Spokesperson;['address an audience', 'demonstrate trustworthiness', 'ensure customer orientation', 'keep an open mind', 'meet commitments', 'memorise information', 'motivate others', 'promote ideas, products, services ', 'report facts', 'show confidence', 'show empathy', 'work independently'];Childcare
58;3916889;Fundraising Committee for Trans Organization;['assume responsibility', 'build networks', 'demonstrate intercultural competence', 'promote ideas, products, services ', 'show commitment', 'show initiative', 'think analytically', 'think holistically', 'work in teams'];Political work and advocacy
59;3887903;Be an Advocate for Solutions to US and Global Poverty;['address an audience', 'assume responsibility', 'attend to detail', 'build networks', 'build team spirit', 'conduct web searches', 'create digital content', 'demonstrate trustworthiness', 'demonstrate willingness to learn', 'ensure customer orientation', 'manage quality', 'meet commitments', 'memorise information', 'motivate others', 'operate digital HW', 'organise information, objects & resources', 'promote ideas, products, services ', 'report facts', 'show commitment', 'show confidence', 'show initiative', 'think analytically', 'think holistically', 'use communication & collaboration SW', 'work independently'];Political work and advocacy
60;3903843;Make a Difference: Volunteer as a Court Appointed Special Advocate;['address an audience', 'advise others', 'apply knowledge of social sciences & humanities', 'approach challenges positively', 'assume responsibility', 'attend to detail', 'comply with regulations', 'demonstrate trustworthiness', 'ensure customer orientation', 'identify problems', 'manage quality', 'memorise information', 'promote ideas, products, services ', 'report facts', 'respect confidentiality obligations', 'show commitment', 'show empathy', 'show initiative', 'solve problems', 'use communication & collaboration SW'];Political work and advocacy
61;3419447;Volunteer Attorney;['address an audience', 'advise others', 'apply knowledge of social sciences & humanities', 'approach challenges positively', 'assume responsibility', 'attend to detail', 'demonstrate trustworthiness', 'ensure customer orientation', 'identify problems', 'instruct others', 'manage quality', 'meet commitments', 'respect confidentiality obligations', 'show commitment', 'show confidence', 'show empathy', 'show initiative', 'solve problems', 'think analytically', 'think critically', 'use communication & collaboration SW', 'work independently'];Political work and advocacy
62;3710891;Critical Blood Shortage! Donations needed - Schedule in Minutes!;['apply hygiene standards', 'demonstrate awareness of health risks ', 'protect the health of others'];Disaster relief and rescue services
